epochs,rmse,mae
0,0.0,0.0
1,1.5833717163638998,1.5023438308293549
5,1.5833516708948767,1.5023341712398666
10,1.5833516708940167,1.5023341712409584
20,1.5833516708940167,1.5023341712409584
